id,title,genres,authors,description,readers_count,avg_rating,genre_score
223269,Авторская исповедь,"Литература 19 века,Русская классика",Николай Гоголь,"жанр: эссе
темы: семья, вина, прощение, смысл жизни, идентичность
конфликт: внутренний конфликт, противоречие между идеалами и реальностью
смысл: Авторская исповедь представляет собой размышления о жизни и творчестве, исследование внутреннего мира и поиск смысла существования.",10,3.7,898
4432,"Ада, или Радости страсти","Зарубежная классика,Литература 20 века,Русская классика",Владимир Набоков,"жанр: роман
темы: любовь, семья, идентичность, эмоции, отношения
конфликт: внутренний конфликт, семейные противоречия
смысл: исследование сложностей человеческих отношений и эмоций, изучение семейной динамики и личностного роста.",23,4.5,898
61431,Адское пламя,"Литература 20 века,Русская классика",Иван Ефремов,"жанр: научная фантастика
темы: космос, эволюция, биология
конфликт: противоречие между прогрессом и опасностью
смысл: исследование последствий научных открытий, борьба за выживание в космосе",18,4.8,898
95821,Азартные игры в старину,"Литература 19 века,Русская классика",Михаил Пыляев,"жанр: исторический роман
темы: азарт, игры, история, общество, традиции
конфликт: социальное неравенство, конфликт интересов
смысл: Описание жизни и азартных игр в прошлом, социальные аспекты игровой культуры.",13,5.0,898
252708,Акварель,"Зарубежная классика,Литература 20 века,Русская классика",Александр Грин,"жанр: роман
темы: любовь, семья, одиночество
конфликт: внутренний конфликт, социальные нормы
смысл: История о поиске смысла жизни, исследование человеческих отношений и эмоций.",10,4.5,898
161904,Алатырь,"Литература 20 века,Русская классика",Евгений Замятин,"жанр: фэнтези
темы: любовь, власть, идентичность, свобода, конфликт
конфликт: борьба за власть, внутренний конфликт
смысл: исследование человеческой природы, поиск смысла жизни",17,3.0,898
292471,Алгебра,Русская классика,Семен Юшкевич,"жанр: роман
темы: семья, одиночество, самопознание
конфликт: внутренний конфликт, конфликт поколений
смысл: История о поиске себя и понимании отношений, исследование внутреннего мира героя.",24,4.0,898
39213,Алмазная карта,"Литература 20 века,Русская классика",Варлам Шаламов,"жанр: рассказ
темы: одиночество, страдание, выживание, опасность, конфликт
конфликт: борьба за выживание, внутренний конфликт
смысл: история о выживании и внутренней борьбе, рассказывающая о человеческой способности к сопротивлению и стойкости в экстремальных условиях.",15,4.5,898
104721,Алёша-дурачок,"Литература 19 века,Русская классика",Леонид Андреев,"жанр: рассказ
темы: семья, вина, прощение
конфликт: внутренний конфликт, конфликт
смысл: История о человеке, который проходит через процесс самопознания и прощения, смысл жизни и свободы выбора.",11,5.0,898
166507,Амена,"Литература 19 века,Русская классика",Алексей Толстой,"жанр: исторический роман
темы: любовь, семья, власть, революция, война
конфликт: борьба за власть, социальные изменения
смысл: история о жизни и борьбе людей в период социальных потрясений, исследование человеческих отношений и конфликтов в условиях войны и революции.",10,5.0,898
147795,Анатэма,"Пьесы и драматургия,Русская классика",Леонид Андреев,"жанр: рассказ
темы: вина, прощение, смысл жизни, страдание, смерть
конфликт: внутренний конфликт, моральный конфликт
смысл: История о поиске смысла жизни и борьбе с внутренними муками, исследование тем вины и прощения.",12,5.0,898
289279,Анафема,"Литература 20 века,Русская классика",Александр Куприн,"жанр: рассказ
темы: семья, вина, прощение
конфликт: внутренний конфликт, семейные противоречия
смысл: История о сложных семейных отношениях и поиске прощения, исследует темы вины и внутреннего конфликта.",12,3.7,898
239480,Ангелочек,"Литература 19 века,Русская классика",Леонид Андреев,"жанр: рассказ
темы: любовь, семья, смерть
конфликт: внутренний конфликт, конфликт
смысл: История о сложных отношениях и эмоциях, исследующая человеческую природу.",18,3.8,898
298911,Андрей Колосов,"Литература 19 века,Русская классика",Иван Тургенев,"жанр: роман
темы: любовь, семья, одиночество, вина, прощение
конфликт: внутренний конфликт, социальные противоречия
смысл: История жизни Андрея Колосова, исследование его внутреннего мира и отношений с окружающими.",15,4.5,898
7143,Светлана,"Старинная литература,Русская классика",Василий Жуковский,"К сожалению, я не смог найти информацию о книге ""Светлана"" Василия Жуковского. Если вы предоставите больше контекста или содержания книги, я смогу помочь вам создать описание.

Если же вы хотите, я могу попробовать найти информацию о книге в интернете или предоставить общие рекомендации по созданию описания. Пожалуйста, дайте мне знать, как я могу вам помочь.

( UPD: Если книга реально существует, могу её проанализировать после получения названия и автора в таком формате:  )

 жанр: роман
 темы: любовь, семья, взросление
 конфликт: Семейный конфликт, проблемы взросления 
 смысл: Роман о взрослении и семейных отношениях",28,5.0,898
70076,Светлая личность,"Литература 20 века,Русская классика","Илья Ильф,Евгений Петров","жанр: повесть
темы: смысл жизни, идентичность, самопознание, внутренний конфликт, мораль
конфликт: поиск смысла жизни, преодоление внутреннего конфликта
смысл: Герой ищет свой путь и пытается понять себя и свое место в жизни. Повесть описывает его внутренние переживания и поиск смысла.",14,4.0,898
185394,Свидание,"Зарубежная классика,Литература 19 века,Русская классика",Максим Горький,"жанр: рассказ
темы: любовь, одиночество, внутренний конфликт, самопознание, отношения
конфликт: Противоречия в отношениях, эмоциональный конфликт
смысл: Рассказ о встрече и взаимоотношениях двух людей, анализ их эмоций и ожиданий.",14,4.0,898
51840,Свободная любовь,Русская классика,Лев Толстой,"жанр: роман
темы: любовь, свобода, выбор, мораль, внутренний конфликт
конфликт: противоречия между личными желаниями и социальными нормами
смысл: роман описывает сложности человеческих отношений и поиска смысла жизни.",13,4.7,898
259540,Свои люди – сочтемся,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,"жанр: пьеса
темы: семья, общество, мораль, деньги, отношения
конфликт: столкновение интересов, борьба за наследство
смысл: Пьеса рассказывает о жизни купеческой семьи и взаимоотношениях её членов.",54,4.9,898
101806,"Свои собаки грызутся, чужая не приставай","Старинная литература,Русская классика",Александр Островский,"жанр: повесть
темы: семья, конфликт, власть, социальные нормы, мораль
конфликт: Противоречия между членами семьи и социальными ожиданиями.
смысл: Повесть описывает сложные взаимоотношения в семье и обществе.",13,5.0,898
122715,Ряженые,"Литература 19 века,Русская классика",Алексей Будищев,"жанр: повесть
темы: общество, мораль, внутренний конфликт, идентичность, выбор
конфликт: Противоречия между внешними ожиданиями и внутренними убеждениями. 
смысл: Герои повести сталкиваются с необходимостью выбора между лицемерным благополучием и честностью перед собой и обществом.",8,5.0,898
204985,С голоду,"Литература 19 века,Русская классика",Дмитрий Мамин-Сибиряк,"жанр: повесть
темы: голод, выживание, семья, дети, общество
конфликт: Голод и нужда против человеческих сил и духа.
смысл: Повесть описывает жизнь людей в условиях голода и трудностей.",18,5.0,898
222133,Самоцветы,"Литература 19 века,Русская классика",Дмитрий Мамин-Сибиряк,"жанр: повесть
темы: семья, дети, выживание
конфликт: Отношения между старателями и детьми
смысл: Повесть о приключениях детей в тайге.",19,4.6,898
263933,Сатиры,"Старинная литература,Русская классика",Саша Чёрный,"жанр: сатира
темы: общество, мораль, внутренний конфликт, власть, коррупция
конфликт: противоречия в обществе, критика власти
смысл: произведение содержит критический взгляд на общество и власть.",15,5.0,898
33305,Сестры,"Литература 20 века,Русская классика",Викентий Вересаев,"жанр: повесть
темы: семья, взросление, выбор, внутренний конфликт, отношения
конфликт: Противоречия между сестрами, выбор жизненного пути.
смысл: Повесть о взаимоотношениях сестёр и их выборе в жизни.",17,5.0,898
112818,Сигнал,"Литература 19 века,Русская классика",Всеволод Гаршин,"жанр: рассказ
темы: одиночество, смерть, вина, прощение, смысл жизни
конфликт: внутренний конфликт героя, столкновение с реальностью
смысл: рассказ о судьбе человека, столкнувшегося с трагическими обстоятельствами. Герой переживает сложный внутренний конфликт.",17,4.7,898
30722,Синодальный философ,"Литература 19 века,Русская классика",Николай Лесков,"жанр: философская проза
темы: смысл жизни, внутренний конфликт, самопознание, идентичность, мораль
конфликт: поиск истины, внутренние противоречия
смысл: произведение о поиске смысла жизни и самопознании.",13,5.0,898
259557,Язвительный,"Литература 19 века,Русская классика",Николай Лесков,"жанр: повесть
темы: мораль, внутренний конфликт, самопознание, идентичность, психология личности
конфликт: противоречия в личности, поиск смысла
смысл: описание внутреннего мира человека, анализ его мыслей и чувств",10,4.5,898
60156,Яма,"Литература 20 века,Русская классика",Александр Куприн,"жанр: повесть
темы: любовь, проституция, одиночество, вина, мораль, внутренний конфликт
конфликт: столкновение с жестокой реальностью, внутренний разлад
смысл: Описание жизни проституток и их внутреннего мира.",257,4.9,898
61579,…И всему роду твоему,Русская классика,Константин Воробьев,,16,3.0,898
150216,Анна Владимировна,Русская классика,Викентий Вересаев,"жанр: роман
темы: семья, любовь, одиночество, страдание, прощение
конфликт: внутренний конфликт, семейные противоречия
смысл: История жизни Анны Владимировны, ее борьба и поиск смысла жизни. Описание ее отношений и внутренних конфликтов.",21,4.8,898
169853,Анна Каренина,"Литература 19 века,Русская классика",Лев Толстой,"жанр: роман
темы: любовь, семья, вина, прощение, смысл жизни
конфликт: внутренний конфликт, социальные нормы
смысл: История о жизни и отношениях Анны Карениной, исследующая темы любви, семьи и социальных норм. Роман раскрывает внутренние конфликты и борьбу персонажей за смысл жизни.",827,4.8,898
272281,Анна на шее,"Литература 19 века,Русская классика",Антон Чехов,"жанр: рассказ
темы: любовь, семья, одиночество
конфликт: внутренний конфликт, социальные нормы
смысл: История о поиске счастья и самоопределении, исследование человеческих отношений и социальных ожиданий.",76,4.5,898
232619,Антигона,Русская классика,Иван Бунин,"жанр: драма
темы: семья, вина, прощение, смерть, конфликт
конфликт: внутренний конфликт, социальный конфликт
смысл: История о борьбе личности с общественными нормами, исследование человеческих отношений и конфликтов.",20,4.2,898
25212,Антоша Чехонте,"Литература 20 века,Русская классика",Владимир Гиляровский,"жанр: биография
темы: детство, дружба, семья, идентичность, отношения
конфликт: внутренний конфликт, конфликт поколений
смысл: Описание жизни Антоши Чехонте, его отношений и внутренних конфликтов. Изучение его идентичности и места в обществе.",21,4.8,898
87978,Анфиса,"Пьесы и драматургия,Русская классика",Леонид Андреев,"жанр: рассказ
темы: любовь, семья, вина
конфликт: внутренний конфликт, конфликт отношений
смысл: История о сложных отношениях и внутренних конфликтах, исследующая темы любви и вины.",22,4.7,898
114185,Апельсины,"Зарубежная классика,Литература 20 века,Русская классика",Александр Грин,"жанр: фэнтези
темы: любовь, свобода, идентичность, выживание, опасность
конфликт: внутренний конфликт, конфликт с обществом
смысл: История о поиске смысла жизни и самоопределении, разворачивающаяся в фантастическом мире.",15,5.0,898
146769,Синяя звезда,"Литература 20 века,Русская классика",Александр Куприн,,8,4.8,898
108710,Рудин,Русская классика,Иван Тургенев,,22,4.8,898
58789,"Рукопись, найденная под кроватью","Литература 20 века,Русская классика",Алексей Толстой,,17,4.0,898
216337,Русские женщины,"Старинная литература,Русская классика",Николай Некрасов,,25,4.5,898
135542,Русский в Париже 1814 года,"Литература 19 века,Русская классика",Николай Бестужев,,26,4.4,898
771,Русский вопрос,"Пьесы и драматургия,Литература 20 века,Русская классика,Советская литература",Константин Симонов,,11,5.0,898
297462,Руся,Русская классика,Иван Бунин,,11,5.0,898
129243,Рождение человека,"Литература 20 века,Русская классика",Максим Горький,,13,5.0,898
124513,Ягоды,Русская классика,Варлам Шаламов,,16,4.5,898
225896,Апокалипсис нашего времени,"Книги по философии,Литература 20 века,Русская классика",Василий Розанов,"жанр: философская проза
темы: апокалипсис, выживание, опасность, будущее
конфликт: конфликт между людьми и катастрофой, борьба за выживание
смысл: книга исследует последствия апокалипсиса и его влияние на человечество, описывая борьбу за выживание в условиях катастрофы.",11,4.2,898
109057,Апостол Павел,Русская классика,Варлам Шаламов,"жанр: биография
темы: религия, духовность, история
конфликт: внутренний конфликт, конфликт поколений
смысл: Описание жизни Апостола Павла, его духовный путь и историческое значение.",8,5.0,898
25295,Аптекарша,"Старинная литература,Русская классика",Владимир Соллогуб,"жанр: роман
темы: любовь, семья, власть
конфликт: внутренний конфликт, социальное неравенство
смысл: История о жизни и отношениях, Исследование социальных проблем",13,5.0,898
220733,Арап Петра Великого,"Литература 19 века,Русская классика",Александр Пушкин,"жанр: исторический роман
темы: власть, государство, политика
конфликт: борьба за власть, социальное неравенство
смысл: История о жизни Ибрагима, арапа Петра Великого, и его месте в истории России. Рассказывает о сложностях власти и социальных отношений в тот период.",114,4.6,898
216629,Архиерей,"Литература 19 века,Русская классика",Антон Чехов,"жанр: повесть
темы: церковь, власть, общество, мораль, внутренний конфликт, идентичность
конфликт: противоречия в обществе, внутренний конфликт героя
смысл: Описание жизни архиерея и его размышления о смысле жизни и церкви.",16,5.0,898
221518,Архиерейские объезды,"Литература 19 века,Русская классика",Николай Лесков,"жанр: классическая проза
темы: церковь, власть, общество, мораль, конфликт поколений
конфликт: противоречия между церковной властью и обществом
смысл: Описание жизни и деятельности архиереев в Русской православной церкви.",13,5.0,898
179925,Ассирийский царь Асархадон,"Литература 20 века,Русская классика",Лев Толстой,"жанр: историческая проза
темы: власть, политика, государство
конфликт: борьба за власть, противостояние с соседними странами
смысл: Описание жизни и деятельности ассирийского царя Асархадона, его военных кампаний и внутренней политики.",17,5.0,898
14022,Роман в девяти письмах,"Литература 19 века,Русская классика",Федор Достоевский,,16,4.0,898
197474,Рассказы. Повести. 1894-1897,"Литература 19 века,Русская классика",Антон Чехов,,15,5.0,898
281049,Рахиль,"Пьесы и драматургия,Литература 20 века,Русская классика",Александр Куприн,,17,5.0,898
135764,Ребята,"Литература 20 века,Русская классика",Викентий Вересаев,,13,5.0,898
29261,Ревизор,"Пьесы и драматургия,Литература 19 века,Русская классика",Николай Гоголь,,24,4.6,898
120652,Редиард Киплинг,Русская классика,Александр Куприн,,17,5.0,898
145538,Река Потудань,"Литература 20 века,Русская классика,Советская литература",Андрей Платонов,,15,4.0,898
48283,Река играет,"Литература 19 века,Русская классика",Владимир Короленко,,6,4.5,898
91271,Репетитор,Русская классика,Надежда Тэффи,,11,4.7,898
225349,"Баба-Яга, Костяная Нога. Русская народная сказка в стихах. В осьми главах.","Старинная литература,Русская классика",Николай Некрасов,,13,5.0,898
37456,Бабушка Акулина,"Литература 19 века,Русская классика",Максим Горький,,18,5.0,898
188018,Бабы,Русская классика,Антон Чехов,,15,,898
101443,Бабье царство,Русская классика,Антон Чехов,,20,3.2,898
313624,Баймаган,"Литература 19 века,Русская классика",Дмитрий Мамин-Сибиряк,,20,3.0,898
148314,Баллада,Русская классика,Иван Бунин,,11,5.0,898
27859,Юность,"Литература 19 века,Русская классика",Лев Толстой,,27,3.8,898
296892,Юношеские годы Пушкина,"Литература 19 века,Русская классика",Василий Авенариус,,15,4.7,898
42949,Юра,Русская классика,Викентий Вересаев,,11,5.0,898
43937,Юристка,"Литература 19 века,Русская классика",Антон Чехов,,10,4.8,898
268929,Юрта Ворона,"Литература 20 века,Русская классика,Советская литература",Иван Ефремов,,12,5.0,898
62545,Баран и барышня,"Литература 19 века,Русская классика",Антон Чехов,,10,5.0,898
98220,Барбос и Жулька,"Литература 19 века,Русская классика",Александр Куприн,,15,4.7,898
69843,Баргамот и Гараська,"Литература 19 века,Русская классика",Леонид Андреев,,17,4.5,898
55386,Барка на Зеленом канале,"Зарубежная классика,Литература 20 века,Русская классика",Александр Грин,,12,5.0,898
211817,Барыня,"Литература 19 века,Русская классика",Антон Чехов,,14,4.8,898
105542,Барышня-крестьянка,"Старинная литература,Русская классика",Александр Пушкин,,78,4.8,898
219439,Бегущая по волнам,"Литература 20 века,Русская классика",Александр Грин,,189,4.6,898
76962,Бедная Лиза,"Литература 18 века,Русская классика",Николай Карамзин,,59,4.8,898
189218,Бедность не порок,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,,39,5.0,898
84470,Рисунок пером,Русская классика,Сигизмунд Кржижановский,,16,5.0,898
82978,Сказка,"Литература 19 века,Русская классика",Александр Куприн,,17,4.2,898
233920,Скверный анекдот,"Литература 19 века,Русская классика",Федор Достоевский,,27,5.0,898
87161,Скворцы,Русская классика,Александр Куприн,,22,5.0,898
107237,Скупой рыцарь,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Пушкин,,15,4.3,898
105459,Слабое сердце,"Литература 19 века,Русская классика",Федор Достоевский,,117,4.1,898
136406,Славянская душа,"Литература 19 века,Русская классика",Александр Куприн,,15,,898
102774,Юлия,"Литература 18 века,Русская классика",Николай Карамзин,,17,4.2,898
308913,Юнкера,Русская классика,Александр Куприн,,20,5.0,898
90353,Бедные люди,"Литература 19 века,Русская классика",Федор Достоевский,,27,4.0,898
121816,Бедный принц,Русская классика,Александр Куприн,,13,2.0,898
173123,Без вины виноватые,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,,17,4.0,898
186408,Без крыльев,Русская классика,Алексей Толстой,,21,3.0,898
245441,Без названия,"Литература 20 века,Русская классика,Советская литература",Борис Пильняк,,10,4.5,898
226393,Безденежье,"Пьесы и драматургия,Литература 19 века,Русская классика",Иван Тургенев,,14,5.0,898
177429,Беззащитное существо,"Зарубежная классика,Литература 19 века,Русская классика",Антон Чехов,,18,4.2,898
94642,Безногий,"Зарубежная классика,Литература 20 века,Русская классика",Александр Грин,,10,4.5,898
31168,Барак,"Пьесы и драматургия,Литература 20 века,Русская классика","Илья Ильф,Евгений Петров",,12,5.0,898
138793,"Райна, королевна Болгарская","Зарубежная классика,Литература 19 века,Русская классика",Александр Вельтман,,15,4.0,898
53943,"Ранние стихотворения, незавершенное, отрывки, наброски","Старинная литература,Русская классика",Александр Пушкин,,18,5.0,898
137981,Рассказ неизвестного человека,"Зарубежная классика,Литература 19 века,Русская классика",Антон Чехов,,46,4.9,898
318665,Рассказ о безответной любви,"Литература 20 века,Русская классика",Максим Горький,,15,4.7,898
130919,Рассказ о семи повешенных,"Литература 20 века,Русская классика",Леонид Андреев,,18,4.0,898
232349,Рассказы и очерки,Русская классика,Владимир Гиляровский,,9,,898
164441,Рассказы кстати,"Литература 19 века,Русская классика",Николай Лесков,,13,1.0,898
186949,Рассказы. 1887,"Литература 19 века,Русская классика",Антон Чехов,,16,5.0,898
140415,Рассказы. Повести. 1888-1891,"Литература 19 века,Русская классика",Антон Чехов,,9,4.0,898
197964,Рассказы. Повести. 1892-1894,"Литература 19 века,Русская классика",Антон Чехов,,25,3.7,898
34938,Бенефис соловья,"Литература 19 века,Русская классика",Антон Чехов,,17,5.0,898
319796,Беня Крик,"Пьесы и драматургия,Литература 20 века,Русская классика",Исаак Бабель,,19,5.0,898
227266,Берды Онже,"Литература 20 века,Русская классика",Варлам Шаламов,,11,5.0,898
270848,Бери да помни,"Литература 20 века,Русская классика,Советская литература",Виктор Астафьев,,16,4.0,898
37955,Беседа пьяного с трезвым чёртом,"Литература 19 века,Русская классика",Антон Чехов,,15,4.7,898
42227,Бесприданница,"Пьесы и драматургия,Литература 19 века,Русская классика",Александр Островский,,72,4.3,898
192899,Эротика,"Литература 19 века,Литература 20 века,Русская классика",Игорь Соколов,,23,4.8,898
32063,Эхо в горах,Русская классика,Варлам Шаламов,,10,,898
319156,Работник Емельян и пустой барабан,"Зарубежная классика,Литература 19 века,Русская классика",Лев Толстой,,13,5.0,898
147909,Разговор о науке,"Старинная литература,Русская классика",Лев Толстой,,11,4.5,898
192440,Разговор человека с собакой,"Литература 19 века,Русская классика",Антон Чехов,,12,5.0,898
208129,Разговоры,Русская классика,Надежда Тэффи,,10,4.0,898
123936,Размазня,"Литература 19 века,Русская классика",Антон Чехов,,17,5.0,898
173246,Пустыня дьявола,"Литература 20 века,Русская классика",Иван Бунин,,17,3.0,898
40798,Путаница,"Литература 19 века,Русская классика",Александр Куприн,,14,5.0,898
106051,Пути небесные,Русская классика,Иван Шмелев,,13,,898
166565,Путимец,"Литература 19 века,Русская классика",Николай Лесков,,13,5.0,898
321392,Бич Божий,"Литература 20 века,Русская классика",Евгений Замятин,,121,4.9,898
245487,Бобок,Русская классика,Федор Достоевский,,14,4.5,898
149317,Белая акация,Русская классика,Александр Куприн,,19,5.0,898
225670,Белолобый,"Зарубежная классика,Литература 19 века,Русская классика",Антон Чехов,,19,4.3,898
165323,Белый Бим Черное ухо,"Литература 20 века,Русская классика",Гавриил Троепольский,,42,4.8,898
68413,Пьесы,"Пьесы и драматургия,Литература 19 века,Русская классика",Антон Чехов,,22,4.0,898
7032,Словоохотливый домовой,"Литература 20 века,Русская классика",Александр Грин,,16,5.0,898
179434,Слон,Русская классика,Александр Куприн,,14,5.0,898
41230,Слон и Моська,"Литература 20 века,Русская классика",Александр Грин,,18,5.0,898
79039,Слоновья прогулка,Русская классика,Александр Куприн,,9,4.5,898
172008,Случай с Евсейкой,Русская классика,Максим Горький,,14,,898
109094,Случай с Полыниным,"Литература 20 века,Русская классика,Советская литература,Книги о войне",Константин Симонов,,15,5.0,898
294954,Бокс,Русская классика,Александр Куприн,,9,5.0,898
280309,Болезнь,"Литература 19 века,Русская классика",Дмитрий Мамин-Сибиряк,,19,5.0,898
122737,Болезнь Марины,"Литература 20 века,Русская классика",Викентий Вересаев,,13,3.0,898
129447,Боль,Русская классика,Варлам Шаламов,,7,,898
314989,Большая любовь,"Литература 20 века,Русская классика",Максим Горький,,13,5.0,898
209885,Большой шлем,"Литература 19 века,Русская классика",Леонид Андреев,,16,5.0,898
74014,Боярщина,"Литература 19 века,Русская классика",Алексей Писемский,,10,4.5,898
142211,Боярыня Морозова,Русская классика,Иван Лукаш,,17,4.3,898
143113,Бессилие искусства,"Литература 20 века,Русская классика",Николай Гейнце,,17,4.2,898
